Parola;GenereNumero
abitudinaria;s.f.
 adulta;s.f.
 affascinante;s.f.
 allegra;s.f.
 anziana;s.f.
 aperta;s.f.
 arrogante;s.f.
 bigotta;s.f.
 capace;s.f.
 chiusa;s.f.
 coerente;s.f.
 colta;s.f.
 conosciuta;s.f.
 contenta;s.f.
 corretta;s.f.
 dinamica;s.f.
 emotiva;s.f.
 equivoca;s.f.
 estroversa;s.f.
 femminile;s.f.
 fredda;s.f.
 generosa;s.f.
 gioviale;s.f.
 giusta;s.f.
 idonea;s.f.
 ilare;s.f.
 inaffidabile;s.f.
 indisponente;s.f.
 ineducata;s.f.
 inidonea;s.f.
 insensibile;s.f.
 interdetta;s.f.
 interessante;s.f.
 irosa;s.f.
 leale;s.f.
 lontana;s.f.
 noiosa;s.f.
 odiosa;s.f.
 ottimista;s.f.
 pigra;s.f.
 premurosa;s.f.
 presuntuosa;s.f.
 raffinata;s.f.
 ridicola;s.f.
 romantica;s.f.
 sconosciuta;s.f.
 scontenta;s.f.
 scontrosa;s.f.
 scorbutica;s.f.
 scrupolosa;s.f.
 seria;s.f.
 singola;s.f.
 solare;s.f.
 splendida;s.f.
 sporca;s.f.
 spregevole;s.f.
 stupida;s.f.
 superficiale;s.f.
 timida;s.f.
 triste;s.f.
 vicina;s.f.
 violenta;s.f.
abitudinario;s.m.
 adulto;s.m.
 affascinante;s.m.
 allegro;s.m.
 anziano;s.m.
 aperto;s.m.
 arrogante;s.m.
 bigotto;s.m.
 capace;s.m.
 chiuso;s.m.
 coerente;s.m.
 colto;s.m.
 conosciuto;s.m.
 contento;s.m.
 corretto;s.m.
 dinamico;s.m.
 emotivo;s.m.
 equivoco;s.m.
 estroverso;s.m.
 freddo;s.m.
 generoso;s.m.
 gioviale;s.m.
 giusto;s.m.
 idoneo;s.m.
 ilare;s.m.
 inaffidabile;s.m.
 indisponente;s.m.
 ineducato;s.m.
 inidoneo;s.m.
 insensibile;s.m.
 interdetto;s.m.
 interessante;s.m.
 iroso;s.m.
 leale;s.m.
 lontano;s.m.
 maschile;s.m.
 noioso;s.m.
 odioso;s.m.
 ottimista;s.m.
 pigro;s.m.
 premuroso;s.m.
 presuntuoso;s.m.
 raffinato;s.m.
 ridicolo;s.m.
 romantico;s.m.
 sconosciuto;s.m.
 scontento;s.m.
 scontroso;s.m.
 scorbutico;s.m.
 scrupoloso;s.m.
 serio;s.m.
 single;s.m.
 solare;s.m.
 splendido;s.m.
 sporco;s.m.
 spregevole;s.m.
 stupido;s.m.
 superficiale;s.m.
 timido;s.m.
 triste;s.m.
 violento;s.m.
abitudinarie;p.f.
 adulte;p.f.
 affascinanti;p.f.
 allegre;p.f.
 anziane;p.f.
 aperte;p.f.
 arroganti;p.f.
 bigotte;p.f.
 capaci;p.f.
 chiuse;p.f.
 coerenti;p.f.
 colte;p.f.
 conosciute;p.f.
 contente;p.f.
 corrette;p.f.
 dinamiche;p.f.
 emotive;p.f.
 equivoche;p.f.
 estroverse;p.f.
 femminili;p.f.
 fredde;p.f.
 generose;p.f.
 gioviali;p.f.
 giuste;p.f.
 idonee;p.f.
 ilari;p.f.
 inaffidabili;p.f.
 indisponenti;p.f.
 ineducate;p.f.
 inidonee;p.f.
 insensibili;p.f.
 interdette;p.f.
 interessanti;p.f.
 irose;p.f.
 leali;p.f.
 lontane;p.f.
 noiose;p.f.
 odiose;p.f.
 ottimiste;p.f.
 pigre;p.f.
 premurose;p.f.
 presuntuose;p.f.
 raffinate;p.f.
 ridicole;p.f.
 romantiche;p.f.
 sconosciute;p.f.
 scontente;p.f.
 scontrose;p.f.
 scorbutiche;p.f.
 scrupolose;p.f.
 serie;p.f.
 single;p.f.
 solari;p.f.
 splendide;p.f.
 sporche;p.f.
 spregevoli;p.f.
 stupide;p.f.
 superficiali;p.f.
 timide;p.f.
 tristi;p.f.
 vicine;p.f.
 violente;p.f.
abitudinari;p.m.
 adulti;p.m.
 affascinanti;p.m.
 allegri;p.m.
 anziani;p.m.
 aperti;p.m.
 arroganti;p.m.
 bigotti;p.m.
 capaci;p.m.
 chiusi;p.m.
 coerenti;p.m.
 colti;p.m.
 conosciuti;p.m.
 contenti;p.m.
 corretti;p.m.
 dinamici;p.m.
 emotivi;p.m.
 equivochi;p.m.
 estroversi;p.m.
 freddi;p.m.
 generosi;p.m.
 gioviali;p.m.
 giusti;p.m.
 idonei;p.m.
 ilari;p.m.
 inaffidabili;p.m.
 indisponenti;p.m.
 ineducati;p.m.
 inidonei;p.m.
 insensibili;p.m.
 interdetti;p.m.
 interessanti;p.m.
 irosi;p.m.
 leali;p.m.
 lontani;p.m.
 noiosi;p.m.
 odiosi;p.m.
 ottimisti;p.m.
 pigri;p.m.
 premurosi;p.m.
 presuntuosi;p.m.
 raffinati;p.m.
 ridicoli;p.m.
 romantici;p.m.
 sconosciuti;p.m.
 scontenti;p.m.
 scontrosi;p.m.
 scorbutici;p.m.
 scrupolosi;p.m.
 seri;p.m.
 single;p.m.
 solari;p.m.
 splendidi;p.m.
 sporchi;p.m.
 spregevoli;p.m.
 stupidi;p.m.
 superficiali;p.m.
 timidi;p.m.
 tristi;p.m.
 vicini;p.m.
 violenti;p.m.
