Parola;GenereNumero;Transitivo
abbandona;s;v.tr.
accoglie;s;v.tr.
ammazza;s;v.tr.
assume;s;v.tr.
bacia;s;v.tr.
da;s;v.tr.
ferisce;s;v.tr.
getta;s;v.tr.
offre;s;v.tr.
ottiene;s;v.tr.
porta;s;v.tr.
prega;s;v.tr.
prova;s;v.tr.
studia;s;v.tr.
svolge;s;v.tr.
tiene;s;v.tr.
trova;s;v.tr.
aiuta;s;v.tr.
ascolta;s;v.tr.
costruisce;s;v.tr.
lega;s;v.tr.
mette;s;v.tr.
nasconde;s;v.tr.
paga;s;v.tr.
passa;s;v.tr.
provoca;s;v.tr.
raggiunge;s;v.tr.
rifiuta;s;v.tr.
ripete;s;v.tr.
uccide;s;v.tr.
possiede;s;v.tr.
produce;s;v.tr.
attende;s;v.tr.
capisce;s;v.tr.
chiede;s;v.tr.
crea;s;v.tr.
difende;s;v.tr.
distrugge;s;v.tr.
guarda;s;v.tr.
muore;s;v.tr.
abbandonano;p;v.tr.
accolgono;p;v.tr.
ammazzano;p;v.tr.
assumono;p;v.tr.
baciano;p;v.tr.
danno;p;v.tr.
feriscono;p;v.tr.
gettano;p;v.tr.
offrono;p;v.tr.
ottengono;p;v.tr.
portano;p;v.tr.
pregano;p;v.tr.
provano;p;v.tr.
resistono;p;v.tr.
scherzano;p;v.intr.
soffrono;p;v.tr.
studiano;p;v.tr.
svolgono;p;v.tr.
tengono;p;v.tr.
trovano;p;v.tr.
aiutano;p;v.tr.
ascoltano;p;v.tr.
costruiscono;p;v.tr.
giocano;p;v.tr.
legano;p;v.tr.
mettonp;p;v.tr.
nascondono;p;v.tr.
pagano;p;v.tr.
provocano;p;v.tr.
raggiungono;p;v.tr.
rifiutano;p;v.tr.
ripetono;p;v.tr.
sbagliano;p;v.tr.
tacciono;p;v.tr.
uccidono;p;v.tr.
possiedono;p;v.tr.
producono;p;v.tr.
suonano;p;v.tr.
attendono;p;v.tr.
capiscono;p;v.tr.
chiedono;p;v.tr.
creano;p;v.tr.
distruggono;p;v.tr.
guardano;p;v.tr.
muoiono;p;v.tr.
piangono;p;v.tr.
appartiene;s;v.intr.
arrriva;s;v.intr.
avanza;s;v.intr.
cammina;s;v.intr.
cerca;s;v.intr.
comincia;s;v.intr.
concede;s;v.intr.
consente;s;v.intr.
continua;s;v.intr.
costringe;s;v.intr.
gode;s;v.intr.
impara;s;v.intr.
lavora;s;v.intr.
merita;s;v.intr.
parte;s;v.intr.
pesa;s;v.intr.
provoca;s;v.intr.
resiste;s;v.intr.
ricorda;s;v.intr.
ringrazia;s;v.intr.
risponde;s;v.intr.
rompe;s;v.intr.
sa;s;v.intr.
scherza;s;v.intr.
scrive;s;v.intr.
soffre;s;v.intr.
torna;s;v.intr.
esce;s;v.intr.
canta;s;v.intr.
decide;s;v.intr.
gioca;s;v.intr.
grida;s;v.intr.
impedisce;s;v.intr.
inizia;s;v.intr.
resta;s;v.intr.
ride;s;v.intr.
riesce;s;v.intr.
sale;s;v.intr.
sbaglia;s;v.intr.
scompare;s;v.intr.
tace;s;v.intr.
vince;s;v.intr.
spera;s;v.intr.
suona;s;v.intr.
aspetta;s;v.intr.
domanda;s;v.intr.
pensa;s;v.intr.
piange;s;v.intr.
cade;s;v.intr.
corre;s;v.intr.
dorme;s;v.intr.
fugge;s;v.intr.
giudica;s;v.intr.
appartengono;p;v.intr.
arrivano;p;v.intr.
avanzano;p;v.intr.
camminano;p;v.intr.
cercano;p;v.intr.
cominciano;p;v.intr.
concedono;p;v.intr.
consentono;p;v.intr.
continuano;p;v.intr.
costringono;p;v.intr.
godono;p;v.intr.
imparano;p;v.intr.
lavorano;p;v.intr.
meritano;p;v.intr.
partono;p;v.intr.
pesano;p;v.intr.
provocano;p;v.intr.
ricordano;p;v.intr.
ringraziano;p;v.intr.
rispondono;p;v.intr.
rompono;p;v.intr.
sanno;p;v.intr.
scrivono;p;v.intr.
tornano;p;v.intr.
escono;p;v.intr.
cantano;p;v.intr.
decidono;p;v.intr.
gridano;p;v.intr.
impediscono;p;v.intr.
iniziano;p;v.intr.
restano;p;v.intr.
ridono;p;v.intr.
riescono;p;v.intr.
salgono;p;v.intr.
scompariscono;p;v.intr.
vincono;p;v.intr.
sperano;p;v.intr.
aspeattano;p;v.intr.
domandano;p;v.intr.
pensano;p;v.intr.
cadono;p;v.intr.
corrono;p;v.intr.
dormono;p;v.intr.
fuggono;p;v.intr.
giudicano;p;v.intr.
